"SPECIES_CODE","COMMON_NAME","SPECIES_NAME","TOTAL_WEIGHT_KG","TOTAL_COUNT"
22603,"garnet lampfish","Stenobrachius nannochir",0.009,1
22601,"","Stenobrachius sp.",0.08,9
43032,"swimming anemone","Stomphia coccinea",2.013,7
43030,"","Stomphia sp.",0.429,11
82510,"green sea urchin","Strongylocentrotus droebachiensis",4.78,94
82522,"","Strongylocentrotus polyacanthus",5.788,448
82511,"","Strongylocentrotus sp.",101.243,4430
98082,"sea potato","Styela rustica",3.531,49
98080,"","Styela sp.",0.018,1
98084,"hexagonal tunicate","Styela sp. B (Clark 2006)",0.015,3
44030,"","Stylaster sp.",9.396,
44031,"","Stylaster verrilli",0.052,
44028,"stylasterid corals","Stylasteridae",0.082,
44029,"hydrocoral unid.","Stylasterina",14.165,2
42005,"roughstem seawhip","Stylatula gracile",0.065,1
42004,"slender seawhips","Stylatula sp.",0.245,3
91211,"slender stalked sponge","Stylocordyla borealis",0.011,
91020,"hermit sponge","Suberites domuncula",4.575,91
91015,"","Suberites sp.",1.81,5
91017,"wax sponge","Suberites sp. A (Clark 2006)",0.068,1
71702,"Aleutian sulcated whelk","Sulcosinus sp. A (McLean and Clark)",0.017,1
85290,"","Synallactes challengeri",1.488,32
85289,"","Synallactes sp.",1.682,35
85287,"","Synallactes sp. A (Clark 2006)",0.065,1
22410,"longfin dragonfish","Tactostoma macropus",0.01,1
22650,"","Tarletonbeania sp.",0.004,1
91067,"club sponge","Tedania kagalaskai",159.632,3
91221,"","Tedania sp.",2.18,
91125,"two nipple sponge","Tentorium semisuberites",0.237,1
91069,"ball sponge","Tethya sp.",12.101,6
23010,"eulachon","Thaleichthys pacificus",3.6,52
98070,"salp unid.","Thaliacea",0.119,3
65100,"barnacle unid.","Thoracica",0.684,7
44106,"bottlebrush coral","Thouarella cristata",0.144,
44087,"","Thouarella sp.",0.418,
85260,"","Thyonidium sp.",0.175,2
21308,"sponge sculpin","Thyriscus anoplus",0.014,1
98321,"purple-gray ascidian","Trididemnum opacum",0.007,1
21352,"scissortail sculpin","Triglops forficata",3.605,40
21356,"roughspine sculpin","Triglops macellus",1.568,32
21354,"spectacled sculpin","Triglops scepticus",123.223,1404
71026,"festive Tritonia","Tritonia festiva",0.046,2
71025,"","Tritonia sp.",0.466,12
42001,"smoothstem seawhip","Virgularia sp.",8.855,28
71762,"simple whelk","Volutopsius simplex",0.118,2
71746,"","Volutopsius sp. C (Clark and McLean)",0.005,1
71745,"","Volutopsius sp. D (Clark and McLean)",0.015,1
91120,"fuzzy cratered sponge","Vulcanella sp. 1",2.53,
91112,"pale mammilated sponge","Weberella bursa",0.332,
24001,"prowfish","Zaprora silenus",318.421,184
43045,"hot dog zoanthid","Zoanthidae sp. A",0.378,2
71001,"snail egg","gastropod egg",0.177,
98300,"compound ascidian unid.","",4.43,
68000,"crab unid.","",0.026,3
82750,"crinoid unid.","",0.027,4
99991,"empty barnacle shells","",0.299,1
99993,"empty bivalve shells","",32.426,18
99994,"empty gastropod shells","",3.636,25
1,"fish egg unid.","",0.032,
91056,"funnel sponge","",0.831,
71405,"limpet unid.","",0.137,7
99910,"neon yellow ascidian","",0.631,2
91072,"orange ball sponge","",2.883,
43007,"red striated sea anemone","",0.557,8
91093,"soft finger sponge","",3.835,
50010,"tube worm unid.","",0.221,
91005,"vase sponge unid.","",37.668,
91081,"yellow papillate sponge","",0.622,3
